"","cities_2000","ndists_2000","actual_maj_asn_2000","actual_maj_asn_v_2000","actual_maj_blk_2000","actual_maj_blk_v_2000","actual_maj_hisp_2000","actual_maj_hisp_v_2000","actual_maj_wht_2000","actual_maj_wht_v_2000","prop_black_2000","prop_black_v_2000","prop_white_2000","prop_white_v_2000","prop_hisp_2000","prop_hisp_v_2000","prop_asian_2000","prop_asian_v_2000"
"35","minneapolis",13,0,0,0.0769230769230769,0.0769230769230769,0,0,0.692307692307692,0.923076923076923,0.17765608502243,0.141696924061713,0.624831867566324,0.69952248005757,0.0762477475544594,0.0666046751629532,0.060875607259812,0.0480266629176819
"36","montgomery",9,0,0,0.444444444444444,0.444444444444444,0,0,0.555555555555556,0.555555555555556,0.494739007570803,0.458936825575911,0.470283440192002,0.508175256113577,0.0122930941309982,0.0116075207425923,0.0105187186918639,0.010811186759095
"37","nashville",35,0,0,0.2,0.2,0,0,0.771428571428571,0.8,0.257911298831956,0.23190688219523,0.651177748985063,0.686108673095083,0.045793077184517,0.042139493686189,0.0231387784831298,0.0224234942993839
"38","new york",51,0,0,0.215686274509804,0.215686274509804,0.235294117647059,0.196078431372549,0.352941176470588,0.411764705882353,0.244970869501834,0.229662546920409,0.349803045243788,0.386551515906853,0.26981308501537,0.247088545530819,0.0974401447583791,0.100773212565024
"39","ogden",4,0,0,0,0,0,0,1,1,0.0191509007634761,0.0185651542978721,0.719002165079115,0.759783131170817,0.221271110358511,0.184596863445475,0.0132213043700544,0.0146829316418828
"40","oklahoma city",8,0,0,0,0,0,0,0.75,0.875,0.151987217687421,0.137365447301874,0.646796475780137,0.689197874135624,0.10137001090293,0.0823160799809002,0.0343864581214238,0.0345465392419208
"41","omaha",7,0,0,0.142857142857143,0.142857142857143,0,0,0.857142857142857,0.857142857142857,0.131916153468126,0.114208062405659,0.75341014231693,0.78821384658304,0.0754253981863605,0.0638287759629622,0.0171359230116438,0.0181013822830682
"42","orlando",6,0,0,0.333333333333333,0.166666666666667,0,0,0.5,0.666666666666667,0.259895553694831,0.223646365854863,0.50780644651719,0.559371364437933,0.175600962014922,0.161920277742463,0.0267289678524976,0.0278235643335396
"43","philadelphia",10,0,0,0.5,0.4,0,0,0.3,0.3,0.425820711797474,0.395271538930865,0.424573485077925,0.470249736807028,0.0849596179138239,0.0708625409641686,0.0442284815330974,0.0451354188040541
"44","phoenix",8,0,0,0,0,0.375,0.375,0.5,0.625,0.0482427458006724,0.0453250417132467,0.557811658148128,0.613772972387864,0.340604236340272,0.290442045855687,0.01925818104307,0.0206408647334119
"45","pittsburgh",9,0,0,0.222222222222222,0.222222222222222,0,0,0.777777777777778,0.777777777777778,0.269119595390814,0.231552546692934,0.669889445212145,0.709508406819528,0.0132254876445751,0.0126627098398512,0.0273871527822217,0.0300482547570279
"46","poughkeepsie",8,0,0,0,0,0,0,0.875,1,0.188305347141092,0.160665727168753,0.673624542757512,0.716819469091847,0.0747526647811078,0.0649659736802869,0.0365708586261346,0.03696399107754
"47","providence",15,0,0,0,0,0.133333333333333,0.0666666666666667,0.4,0.533333333333333,0.127263395878839,0.11291134637636,0.457786599289872,0.534622587186556,0.30025140347789,0.247653161729991,0.0593262113412784,0.0565536801637975
"48","provo",5,0,0,0,0,0,0,1,1,0.00410231406752964,0.00351835685054752,0.839823541177607,0.860961592947478,0.104692996043312,0.088816388433802,0.0180633850834928,0.019736002754732
"49","reno",5,0,0,0,0,0,0,1,1,0.0241404326650334,0.0232650422539658,0.695457651803802,0.735578859762121,0.188794785020852,0.154148847984106,0.0520245649279685,0.0537468823468711
"50","san bernardino",7,0,0,0,0,0.571428571428571,0.571428571428571,0.142857142857143,0.142857142857143,0.160464855827962,0.148982818474703,0.290740495494384,0.350916157815486,0.473379562785455,0.423634650909654,0.0403724441115515,0.0451044390863723
"51","san jose",10,0.1,0.1,0,0,0.2,0.2,0.3,0.4,0.0322802942415113,0.0323362229552769,0.364948497469927,0.399206116636555,0.306925483567823,0.273019898327597,0.257402540502969,0.262454399549597
"52","spokane",3,0,0,0,0,0,0,1,1,0.0198463500180915,0.0177948416699086,0.879073890950499,0.897551707210532,0.0299138128161996,0.023659501447438,0.0221713952755122,0.0230538108636248
"53","springfield ma",8,0,0,0.125,0.125,0.125,0.125,0.625,0.625,0.196169649966153,0.180984472164231,0.488445695716424,0.56203797624868,0.271886051234776,0.217781815281977,0.0187811944416047,0.0188690952547858
"54","st petersburg",8,0,0,0.25,0.25,0,0,0.75,0.75,0.222033151278318,0.189489583385548,0.68542272936954,0.727060254400591,0.04233001238953,0.0390982907477272,0.0264712235228897,0.0253025494806559
"55","tampa",4,0,0,0.25,0.25,0,0,0.75,0.75,0.254074721951746,0.220277313948486,0.508336173289061,0.550726248970116,0.193692781328678,0.187634862154182,0.0211067864233474,0.0218337904868934
"56","tulsa",9,0,0,0.111111111111111,0.111111111111111,0,0,0.888888888888889,0.888888888888889,0.145459812114605,0.124521681670143,0.677965152162081,0.719782583047832,0.0722161856899569,0.0622320486590681,0.0183093789402453,0.0181402327259355
"57","washington",8,0,0,0.625,0.625,0,0,0.25,0.25,0.594497712223393,0.55721997626706,0.278254815677264,0.318297113016354,0.0785811236067575,0.0733481460984269,0.0262892758869151,0.0291379831882461
"58","wichita",6,0,0,0,0,0,0,0.833333333333333,0.833333333333333,0.110907359203095,0.099088377252072,0.720043919472859,0.758541262240233,0.0951892326742378,0.0773198314824353,0.0391713464994154,0.0382222621744941
"59","winston-salem",7,0,0,0.285714285714286,0.142857142857143,0,0,0.571428571428571,0.571428571428571,0.364066842488253,0.3345361858773,0.524411959251114,0.565581877943438,0.0863771654226199,0.0778317961503056,0.0112277254450362,0.0115318352349425
"60","worcester",5,0,0,0,0,0,0,0.8,1,0.0623788014362962,0.0550622520186707,0.707957363340016,0.757144622463832,0.151370704849703,0.118427991654855,0.0482667136201476,0.0444184280948866
